,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,c1,c2,c3,c4,o1,outside
10,"(0.9981766922931941, 0.0018233077068059516)","(0.45254257471738135, 0.5474574252826186)","(0, 1)","(0.8584685474448346, 0.14153145255516544)","(0.9905809754790187, 0.009419024520981352)","(0.1928451499339059, 0.8071548500660941)","(0.9897407645230424, 0.010259235476957607)","(0.5574358617513229, 0.4425641382486772)","(0.7986167647794034, 0.20138323522059662)","(0.9999893702665759, 1.0629733424185809e-05)","(0.9987543763173732, 0.0012456236826267754)","(0.0067065352899332575, 0.9932934647100667)","(0.9602635193930233, 0.03973648060697661)","(0.17707348502769782, 0.8229265149723022)","(0.9874398804427656, 0.012560119557234333)","(0.9999660036271233, 3.399637287672035e-05)","(0.9182395946071235, 0.08176040539287659)","(0.8058593583762879, 0.1941406416237121)","(0.9990923372041529, 0.0009076627958471392)","(0.09762250928434113, 0.9023774907156589)","(0.8569837840082933, 0.14301621599170664)","(0.9570161092652725, 0.04298389073472749)","(0.9352316439352821, 0.0647683560647179)","(0.9591735479266721, 0.040826452073327864)","(0.9929912949157407, 0.0070087050842593665)","(0.05393055179859718, 0.9460694482014028)","(0.023049614129345697, 0.9769503858706543)","(0.22440331564107574, 0.7755966843589243)","(0.9841922367032988, 0.015807763296701235)","(0.7817929293469676, 0.2182070706530324)","(0.8849595232867796, 0.11504047671322037)","(0.04365350307379545, 0.9563464969262045)","(0.9415441142294555, 0.05845588577054453)","(0.9122797653623734, 0.0877202346376266)","(0, 1)","(0.9646231768851252, 0.03537682311487478)","(0.4906296148102566, 0.5093703851897434)","(0, 1)","(0, 1)","(0.034384280510028176, 0.9656157194899718)","(0.0009263417445750655, 0.9990736582554249)"
11,"(0.8428369456231468, 0.1571630543768532)","(0.5361924007343044, 0.46380759926569565)","(0.06822986245837537, 0.9317701375416246)","(0.79243735172862, 0.20756264827138005)","(0.9868687749595039, 0.013131225040496184)","(0.10896136654800381, 0.8910386334519962)","(1, 0)","(0.5673279180289299, 0.43267208197107015)","(0.8589625070153732, 0.1410374929846267)","(0.9999714909626702, 2.8509037329779385e-05)","(0.9990504509455649, 0.0009495490544350754)","(0.007003413663162372, 0.9929965863368376)","(0.9665054533596656, 0.033494546640334376)","(0.12975891188271949, 0.8702410881172805)","(0.9888102927054004, 0.011189707294599564)","(0.9670884173587464, 0.03291158264125362)","(0.6876109514341919, 0.312389048565808)","(0.9342392553965305, 0.06576074460346945)","(0, 1)","(0.10169575265480957, 0.8983042473451904)","(0.9266896778010251, 0.07331032219897492)","(0.9518156433386551, 0.04818435666134494)","(0.9423563815763093, 0.05764361842369066)","(0.9578565750190126, 0.0421434249809874)","(0.9936362535945251, 0.0063637464054748585)","(0.06465603464705616, 0.9353439653529438)","(0.03268609291692226, 0.9673139070830777)","(0.0, 1.0)","(0.8998461663702495, 0.10015383362975049)","(0.0, 1.0)","(0.4138483413424152, 0.5861516586575848)","(0.05895715447308025, 0.9410428455269197)","(0.9540099446192698, 0.045990055380730234)","(0.8439161762103453, 0.15608382378965466)","(0, 1)","(0.9304068645269024, 0.06959313547309764)","(0.4082416933812776, 0.5917583066187224)","(0.006921254002257626, 0.9930787459977424)","(0, 1)","(0.007081913024765241, 0.9929180869752348)","(0.0009378739341416864, 0.9990621260658583)"
12,"(0.5606735834334271, 0.43932641656657284)","(0.5727178365515884, 0.4272821634484117)","(0.1219938437121646, 0.8780061562878354)","(0.7410333251886463, 0.25896667481135377)","(0.9837392103572495, 0.0162607896427505)","(0.033395057241695114, 0.9666049427583049)","(0.990993757980493, 0.009006242019506928)","(0.5699766732669678, 0.4300233267330323)","(0.8830454301705117, 0.11695456982948824)","(0.9998965565311019, 0.00010344346889814071)","(0.9992825344715314, 0.0007174655284686413)","(0.007189931906040559, 0.9928100680939594)","(0.9715915402866208, 0.028408459713379217)","(0.0953252743319043, 0.9046747256680957)","(0.993953375151828, 0.006046624848171998)","(0.6362980593164451, 0.3637019406835548)","(0.23812663406684498, 0.761873365933155)","(0.9646854583269125, 0.03531454167308743)","(0, 1)","(0.2843288321481352, 0.7156711678518648)","(0.9593662896230319, 0.040633710376968106)","(0.9475349873935447, 0.05246501260645532)","(0.9499359504048936, 0.050064049595106394)","(0.9562350892872605, 0.043764910712739455)","(0.9934791711257732, 0.006520828874226813)","(0.07330108487642739, 0.9266989151235726)","(0.055116208750194406, 0.9448837912498056)","(0.0, 1.0)","(1.0, 0.0)","(0.0, 1.0)","(0.06538647246734075, 0.9346135275326592)","(0.07970496550307671, 0.9202950344969233)","(0.9620352190983447, 0.037964780901655344)","(0.7432595115946137, 0.2567404884053864)","(0, 1)","(1, 0)","(0.4030429887180951, 0.5969570112819049)","(0.006316675558617257, 0.9936833244413827)","(0, 1)","(0.005202317794911204, 0.9947976822050888)","(0.0009465199995511986, 0.9990534800004488)"
13,"(0.2675918690184399, 0.7324081309815601)","(0.5854707643320949, 0.41452923566790517)","(0.17132113004623062, 0.8286788699537694)","(0.6745191295888597, 0.32548087041114027)","(0.9879332381846471, 0.012066761815352921)","(0.00380843069293868, 0.9961915693070613)","(0.9869139604749428, 0.013086039525057153)","(0.5698365785715689, 0.43016342142843117)","(0.891874544617985, 0.108125455382015)","(0.9999451523776479, 5.484762235206534e-05)","(0.9994465628466558, 0.0005534371533441838)","(0.0073071245559381826, 0.9926928754440618)","(0.975030353415852, 0.024969646584148013)","(0.07112628887448524, 0.9288737111255148)","(0.9963183229134356, 0.0036816770865644084)","(0.9942178520571147, 0.005782147942885342)","(0.0713094445388115, 0.9286905554611885)","(0.9784465675788823, 0.021553432421117735)","(0.13443859988438, 0.86556140011562)","(0.15467607443876852, 0.8453239255612315)","(0.9752756617573678, 0.02472433824263216)","(0.9438790930377968, 0.05612090696220316)","(0.9571302391122352, 0.042869760887764854)","(0.954349967466223, 0.04565003253377698)","(0.99342833392373, 0.006571666076270051)","(0.08430957874709166, 0.9156904212529083)","(0.12449484889799001, 0.87550515110201)","(0.0, 1.0)","(1.0, 0.0)","(0.0, 1.0)","(0.007669720781291023, 0.992330279218709)","(0.13742584003735714, 0.8625741599626429)","(0.9667906317539998, 0.03320936824600022)","(0.6327010845781906, 0.3672989154218093)","(0, 1)","(1, 0)","(0.3802999569057427, 0.6197000430942573)","(0, 1)","(0, 1)","(0.004949551160834953, 0.995050448839165)","(0.000952709562696441, 0.9990472904373036)"
14,"(0.9336699958850363, 0.06633000411496376)","(0.5200796183892371, 0.4799203816107629)","(0.18153855725747736, 0.8184614427425226)","(0.7176341267618198, 0.2823658732381802)","(0.9887841357072751, 0.01121586429272488)","(0.0018527038085549563, 0.998147296191445)","(0.9909333412554829, 0.00906665874451704)","(0.5678431471531052, 0.43215685284689476)","(0.8951007983767831, 0.10489920162321681)","(0.9999429159904552, 5.70840095448763e-05)","(0.9994180190144393, 0.0005819809855607623)","(0.007380883140064687, 0.9926191168599353)","(0.9772940909988099, 0.022705909001190034)","(0.054593950729561636, 0.9454060492704384)","(0.9977866898356906, 0.0022133101643093305)","(0.7960048212746207, 0.20399517872537926)","(0.012342893692404378, 0.9876571063075956)","(0.9891862769576749, 0.010813723042325111)","(0.428899168437478, 0.571100831562522)","(0.13202685725616947, 0.8679731427438305)","(0.9922114097987249, 0.007788590201275069)","(0.9401969808545487, 0.05980301914545133)","(0.9632810122591076, 0.03671898774089241)","(0.9523227241336162, 0.047677275866383845)","(0.9932099904353154, 0.00679000956468458)","(0.10548441939668984, 0.8945155806033102)","(0.24870039987614556, 0.7512996001238544)","(0.0, 1.0)","(1.0, 0.0)","(0.0, 1.0)","(0.0016671400428607264, 0.9983328599571393)","(0.2525894461407273, 0.7474105538592727)","(0.9671124575072223, 0.032887542492777665)","(0.5108319118898541, 0.4891680881101459)","(0.022780493973607596, 0.9772195060263924)","(1, 0)","(0.3527651588260926, 0.6472348411739074)","(0, 1)","(0.16920114807720243, 0.8307988519227976)","(0.004112824909676238, 0.9958871750903238)","(0.0009570142693178241, 0.9990429857306822)"
15,"(0.6817134278295166, 0.3182865721704834)","(0.5524554472451153, 0.4475445527548847)","(0.2141195445970615, 0.7858804554029385)","(0.6950601052764401, 0.30493989472355987)","(0.9873192003205933, 0.012680799679406681)","(0.003015709413862311, 0.9969842905861377)","(0.9914601211783619, 0.008539878821638062)","(0.5689690991104407, 0.4310309008895593)","(0.8966958989377105, 0.1033041010622895)","(0.999948760749028, 5.123925097198326e-05)","(0.9993998852182555, 0.0006001147817445291)","(0.007427357264040313, 0.9925726427359597)","(0.9787812648794384, 0.02121873512056158)","(0.0435336736830686, 0.9564663263169314)","(0.9989844664312896, 0.0010155335687104135)","(0.32388901967399364, 0.6761109803260064)","(0.003554018953302318, 0.9964459810466977)","(0.9874858314787013, 0.012514168521298722)","(0.668534457594735, 0.3314655424052651)","(0.06314638070619671, 0.9368536192938033)","(0.9968568943366687, 0.00314310566333126)","(0.9348787213003976, 0.06512127869960242)","(0.9680873017455975, 0.03191269825440247)","(0.9503342484595618, 0.04966575154043813)","(0.9928832078232471, 0.007116792176752845)","(0.13942119022511112, 0.8605788097748889)","(0.44130779475992443, 0.5586922052400756)","(0.0011718850395459057, 0.9988281149604541)","(1.0, 0.0)","(0.001127929044485887, 0.9988720709555141)","(0.0009052801515658793, 0.9990947198484341)","(0.4302781651769294, 0.5697218348230706)","(0.9624407563809497, 0.03755924361905027)","(0.4825141568098881, 0.5174858431901119)","(0.08356014054751348, 0.9164398594524865)","(1, 0)","(0.4343345104936781, 0.5656654895063219)","(0, 1)","(0.6310236187895735, 0.36897638121042653)","(0.3291642443504924, 0.6708357556495076)","(0.0009599603922247901, 0.9990400396077752)"
16,"(0.3492551152433129, 0.6507448847566871)","(0.5679870906824086, 0.4320129093175914)","(0.24512950607527473, 0.7548704939247253)","(0.6547450616540672, 0.3452549383459328)","(0.9865080378027352, 0.013491962197264812)","(0.006758826189485645, 0.9932411738105144)","(0.9880193869231562, 0.011980613076843836)","(0.5685369936989138, 0.43146300630108625)","(0.8971811490997925, 0.10281885090020745)","(0.999945273679003, 5.4726320997045585e-05)","(0.9993179764282627, 0.0006820235717373322)","(0.007456769653319428, 0.9925432303466806)","(0.9797914010854002, 0.020208598914599776)","(0.03624522300166011, 0.9637547769983399)","(0.999380727399845, 0.0006192726001550667)","(0.10337430888697474, 0.8966256911130253)","(0.001740500032423209, 0.9982594999675768)","(0.9852772201199832, 0.014722779880016844)","(0.7398748797566841, 0.26012512024331597)","(0.03284574444571875, 0.9671542555542813)","(0.997621498363402, 0.002378501636597983)","(0.9273342405067075, 0.07266575949329251)","(0.9715841719265073, 0.028415828073492747)","(0.9485564286420889, 0.05144357135791114)","(0.9927252027448209, 0.0072747972551790874)","(0.18544893688625097, 0.814551063113749)","(0.6782716520136274, 0.32172834798637256)","(0.004960031316380342, 0.9950399686836197)","(0.8484030108535987, 0.15159698914640132)","(0.002739826008589352, 0.9972601739914106)","(0.0005883422016864648, 0.9994116577983135)","(0.6307540980741, 0.36924590192589996)","(0.9510796410753177, 0.048920358924682265)","(0.6204368303910606, 0.3795631696089395)","(0.17192366645372514, 0.8280763335462749)","(1, 0)","(0.6846723095806558, 0.31532769041934416)","(0, 1)","(0.9136024772517783, 0.08639752274822163)","(0.780332268924069, 0.21966773107593096)","(0.0009619838632460853, 0.9990380161367539)"
17,"(0.13473248413261063, 0.8652675158673894)","(0.5723849119882484, 0.42761508801175163)","(0.2792963379427087, 0.7207036620572913)","(0.5669948149602244, 0.43300518503977564)","(0.9854777136318885, 0.01452228636811148)","(0.01471318750629802, 0.985286812493702)","(1, 0)","(0.5669742439380022, 0.4330257560619978)","(0.8969088461457777, 0.10309115385422232)","(0.9999585829955092, 4.141700449076956e-05)","(0.9993070635523824, 0.0006929364476176002)","(0.007475650287714464, 0.9925243497122855)","(0.9804444859483946, 0.019555514051605365)","(0.03149250203948761, 0.9685074979605124)","(0.9995736551128634, 0.0004263448871365511)","(0.03864246164021934, 0.9613575383597807)","(0.0012471394134803138, 0.9987528605865197)","(0, 1)","(0.7435506959831549, 0.25644930401684507)","(0.029568908049247167, 0.9704310919507528)","(0.9978697803168789, 0.0021302196831210927)","(0.9179331957585496, 0.08206680424145037)","(0.973999550497668, 0.026000449502332067)","(0.9470960061155079, 0.05290399388449206)","(0.9928779046498164, 0.007122095350183556)","(0.23857831348025993, 0.7614216865197401)","(0.666492741500037, 0.33350725849996293)","(0.012546918847306632, 0.9874530811526934)","(0.42493208377587155, 0.5750679162241285)","(0.004785368753517649, 0.9952146312464824)","(0.3356600271821706, 0.6643399728178294)","(0.6366249176135431, 0.3633750823864569)","(0.9206933305198609, 0.07930666948013909)","(0.8009603615807177, 0.1990396384192823)","(0.2617145740899345, 0.7382854259100655)","(0.990530478569781, 0.009469521430218907)","(0.8937739833983, 0.10622601660169997)","(0.051993250901957166, 0.9480067490980428)","(0.9763358038942682, 0.023664196105731772)","(0.9477203933848131, 0.052279606615186915)","(0.000963410001389553, 0.9990365899986104)"
18,"(0.053501054262521386, 0.9464989457374786)","(0.568030067674674, 0.431969932325326)","(0.3130856777671228, 0.6869143222328772)","(0.4291556529913675, 0.5708443470086325)","(0.9904978491120419, 0.00950215088795812)","(0.03216384400330696, 0.967836155996693)","(0.987081279191319, 0.012918720808680999)","(0.5626606322465069, 0.4373393677534932)","(0.8914072422821907, 0.1085927577178093)","(0.9999508178906156, 4.918210938438027e-05)","(0.998886416541776, 0.001113583458223958)","(0.007488124360602089, 0.9925118756393979)","(0.9808526649390512, 0.01914733506094877)","(0.028416235141495716, 0.9715837648585043)","(0.9994499565734531, 0.0005500434265469029)","(0.019599091705002958, 0.980400908294997)","(0.00126824315724261, 0.9987317568427574)","(0, 1)","(0.6341142220054679, 0.3658857779945322)","(0.04335639384237522, 0.9566436061576248)","(0.9978101975096018, 0.002189802490398198)","(0.9076622438934892, 0.09233775610651081)","(0.9756106155698687, 0.024389384430131254)","(0.9459781427542888, 0.05402185724571113)","(0.9932095471620452, 0.006790452837954714)","(0.2817989004599566, 0.7182010995400434)","(0.7548575438376561, 0.24514245616234387)","(0.010580180740457745, 0.9894198192595423)","(0.12263965708545843, 0.8773603429145416)","(0.005870727872051784, 0.9941292721279482)","(0.014138325459288392, 0.9858616745407116)","(0.6862611033715775, 0.3137388966284224)","(0.8983597750110552, 0.10164022498894473)","(0.9140663708215225, 0.08593362917847744)","(0.417985021477832, 0.582014978522168)","(1, 0)","(0.9715366669463054, 0.02846333305369461)","(0.05801046019584988, 0.9419895398041501)","(0.9882122907795442, 0.011787709220455777)","(0.6032606609461, 0.3967393390539001)","(0.0009644615002266654, 0.9990355384997733)"
19,"(0.028111481149833972, 0.971888518850166)","(0.557617742189212, 0.442382257810788)","(0.3463963417730388, 0.6536036582269612)","(0.29054325541297754, 0.7094567445870225)","(0.986021408380807, 0.013978591619193062)","(0.11961886806047806, 0.8803811319395219)","(0.9814160862428909, 0.01858391375710907)","(0.5526112400562795, 0.44738875994372057)","(0.8863770508004216, 0.11362294919957838)","(0.99994654226611, 5.345773388999643e-05)","(0.9988169289420182, 0.0011830710579818185)","(0.007496690182764554, 0.9925033098172354)","(0.9810497348670373, 0.018950265132962676)","(0.0264352653481299, 0.9735647346518701)","(0.9995727885650326, 0.0004272114349673511)","(0.010130772798161547, 0.9898692272018385)","(0.001319751324210694, 0.9986802486757893)","(0.01842414940618764, 0.9815758505938124)","(0.48029048991871837, 0.5197095100812816)","(0.07544731924443215, 0.9245526807555678)","(0.9974623258816664, 0.0025376741183336313)","(0.8981637989623188, 0.1018362010376812)","(0.9766620055523352, 0.023337994447664826)","(0.9451699741406548, 0.05483002585934516)","(0.9932088058188216, 0.0067911941811783704)","(0.32027186333560764, 0.6797281366643924)","(0.8969245497164544, 0.1030754502835456)","(0.026108828115701255, 0.9738911718842987)","(0.022004075259926092, 0.9779959247400739)","(0.0033929023553320725, 0.9966070976446679)","(0.0006808138888134696, 0.9993191861111865)","(0.8011620794570914, 0.1988379205429086)","(0.8754447014852293, 0.12455529851477067)","(0.9631030085042261, 0.03689699149577386)","(0.43617895761249525, 0.5638210423875047)","(1, 0)","(0.9886682805274961, 0.011331719472503866)","(0, 1)","(0.9982623129250241, 0.0017376870749758978)","(0.9790742414188539, 0.02092575858114614)","(0.0009652772599773041, 0.9990347227400227)"
20,"(0.02023854694217675, 0.9797614530578233)","(0.5435937253330753, 0.45640627466692474)","(0.3766223206877082, 0.6233776793122918)","(0.18812455061263145, 0.8118754493873686)","(0.9793639393759297, 0.02063606062407033)","(0.33472635441540366, 0.6652736455845963)","(0.9786148987923655, 0.02138510120763451)","(0.5346214911278235, 0.46537850887217647)","(0.8857019044858547, 0.11429809551414526)","(0.9999623107487637, 3.768925123621575e-05)","(0.9987955296320753, 0.001204470367924696)","(0.0075026672302092035, 0.9924973327697908)","(0.9810962943203134, 0.0189037056796866)","(0.025164932795142314, 0.9748350672048577)","(0.9997063768345965, 0.00029362316540344015)","(0.004800860364339576, 0.9951991396356604)","(0.0015088762662442967, 0.9984911237337557)","(0.0281091822357441, 0.9718908177642559)","(0.30894043300898244, 0.6910595669910176)","(0.16131496214802143, 0.8386850378519786)","(0.9974893994042371, 0.0025106005957629216)","(0.8896912856362864, 0.11030871436371364)","(0.9773392316929075, 0.02266076830709252)","(0.9446083634669364, 0.05539163653306358)","(0.9930872950540461, 0.006912704945953882)","(0.3556263099486626, 0.6443736900513374)","(0.9508697699555034, 0.04913023004449659)","(0.09669494862735883, 0.9033050513726412)","(0.002135080002424461, 0.9978649199975755)","(0.0005297426663484206, 0.9994702573336516)","(0.00027869460513307853, 0.9997213053948669)","(0.8579557907561521, 0.14204420924384792)","(0.8411129444770261, 0.15888705552297389)","(0.980946736979478, 0.019053263020521977)","(0.3909001892773676, 0.6090998107226324)","(1, 0)","(0.991749220918869, 0.008250779081130982)","(0, 1)","(0.9998353030199537, 0.00016469698004623537)","(0.9959115292078369, 0.004088470792163131)","(0.0009659269064817844, 0.9990340730935182)"
21,"(0.017375288863407445, 0.9826247111365926)","(0.5277386268915205, 0.47226137310847954)","(0.40339013195819684, 0.5966098680418032)","(0.1242401289189673, 0.8757598710810327)","(0.9822078343218988, 0.017792165678101133)","(0.5051241966949642, 0.4948758033050358)","(0.9771358502619834, 0.022864149738016596)","(0.508965460336896, 0.4910345396631039)","(0.839036527980757, 0.160963472019243)","(0.999917616835938, 8.238316406200046e-05)","(0.9983652332367363, 0.0016347667632637213)","(0.007506928326635243, 0.9924930716733648)","(0.9810233983359201, 0.018976601664079853)","(0.024353292639827107, 0.9756467073601729)","(0.9996318454974709, 0.00036815450252910875)","(0.0012601901440144614, 0.9987398098559855)","(0.0020490486385440487, 0.997950951361456)","(0.06526914692483876, 0.9347308530751612)","(0.19450529530143068, 0.8054947046985693)","(0.49985620044936363, 0.5001437995506364)","(0.9971106601419784, 0.0028893398580216844)","(0.8821698044304724, 0.11783019556952753)","(0.977772069498662, 0.02222793050133797)","(0.9442282777394838, 0.055771722260516174)","(0.9930341036457823, 0.0069658963542176995)","(0.38365053760622214, 0.6163494623937779)","(0.9049320644352351, 0.09506793556476494)","(0.46237794374017427, 0.5376220562598257)","(0.00046379471552582263, 0.9995362052844742)","(3.218976327490353e-05, 0.9999678102367251)","(0.24639926932571599, 0.753600730674284)","(0.7856374821149982, 0.2143625178850018)","(0.7742327232657293, 0.22576727673427066)","(0.9870056017875436, 0.012994398212456392)","(0.41551101636496834, 0.5844889836350317)","(1, 0)","(0.9915149609282272, 0.008485039071772742)","(1, 0)","(0.9999394705478879, 6.0529452112058365e-05)","(0.7770070254318973, 0.2229929745681028)","(0.0009664536567363102, 0.9990335463432637)"
22,"(0.6628975683796168, 0.33710243162038317)","(0.44641406971552744, 0.5535859302844726)","(0.3709279416965703, 0.6290720583034297)","(0.1583930465441319, 0.8416069534558681)","(0.9867017562946261, 0.013298243705373866)","(0.7199330618113736, 0.2800669381886264)","(0.9872516112313848, 0.012748388768615148)","(0.4774544363603198, 0.5225455636396802)","(0.7453437993580396, 0.2546562006419604)","(0.999834250425577, 0.0001657495744229188)","(0.9976348915848086, 0.0023651084151914627)","(0.00751007923405933, 0.9924899207659407)","(0.9805349248175012, 0.019465075182498803)","(0.023836963999682714, 0.9761630360003173)","(0.9996989914409348, 0.0003010085590652567)","(0.000320648062867801, 0.9996793519371322)","(0.0031325675600248903, 0.9968674324399751)","(0.16104189043924755, 0.8389581095607525)","(0.09248133356595023, 0.9075186664340498)","(0.9088043361210454, 0.09119566387895457)","(0.9963267948763381, 0.0036732051236618444)","(0.875743822251657, 0.12425617774834297)","(0.9780472240057707, 0.021952775994229255)","(0.9439918475176472, 0.05600815248235281)","(0.9930679773635661, 0.006932022636433871)","(0.40155082198329584, 0.5984491780167042)","(0.924163874708432, 0.07583612529156805)","(0.96512586420394, 0.03487413579605998)","(0.00027745525940381377, 0.9997225447405962)","(1.2584360265521788e-05, 0.9999874156397345)","(0.006732375223237552, 0.9932676247767624)","(0.7964583910815868, 0.2035416089184132)","(0.7323110201510424, 0.26768897984895756)","(0.9890152997991204, 0.010984700200879612)","(0.3980231780119178, 0.6019768219880822)","(1, 0)","(0.9880912395176726, 0.01190876048232735)","(1, 0)","(0.9999706217378768, 2.9378262123253237e-05)","(0.6614110637746884, 0.3385889362253116)","(0.0009668881116063899, 0.9990331118883936)"
23,"(0.9742686766912747, 0.025731323308725323)","(0.4153131151071806, 0.5846868848928194)","(0.32612098177346294, 0.6738790182265371)","(0.31148529415321047, 0.6885147058467895)","(0.9842328218764468, 0.015767178123553185)","(0.8348645071377422, 0.16513549286225784)","(0.9925103050895951, 0.00748969491040481)","(0.4806726998737517, 0.5193273001262483)","(0.6746053041605646, 0.3253946958394354)","(0.9997698527709903, 0.00023014722900973556)","(0.9960714399826834, 0.003928560017316511)","(0.007512493946464693, 0.9924875060535353)","(0.9795163334046498, 0.020483666595350197)","(0.023515614116826566, 0.9764843858831734)","(0.9998445361945271, 0.00015546380547297234)","(0.00011553810744280302, 0.9998844618925572)","(0.004792997457975012, 0.995207002542025)","(0.3030743823870804, 0.6969256176129196)","(0.03294154532973337, 0.9670584546702666)","(0.991999077156291, 0.008000922843709034)","(0.9962060780286491, 0.00379392197135088)","(0.8705905504366066, 0.12940944956339337)","(0.9782197481706658, 0.02178025182933416)","(0.9438637440409858, 0.056136255959014225)","(0.9930692735465149, 0.0069307264534851885)","(0.414722422942124, 0.585277577057876)","(0.9594620932140777, 0.040537906785922326)","(0.9981707942097278, 0.0018292057902721932)","(0.0002597644864824611, 0.9997402355135175)","(1.1434061168658083e-05, 0.9999885659388313)","(0.0003936759972643644, 0.9996063240027356)","(0.8590490569076223, 0.14095094309237766)","(0.6934344074893162, 0.30656559251068377)","(0.9896651978580234, 0.010334802141976527)","(0.3725582320187899, 0.6274417679812101)","(0.9972978942638079, 0.0027021057361921153)","(0, 1)","(1, 0)","(0.9999879668811943, 1.203311880568777e-05)","(0.7323128126266484, 0.2676871873733516)","(0.0009672484869270859, 0.9990327515130729)"
24,"(0.996280822540204, 0.003719177459796032)","(0.4087806919242719, 0.5912193080757281)","(0.28438939332252333, 0.7156106066774767)","(0.5055160116471019, 0.4944839883528981)","(0.06373178453554529, 0.9362682154644547)","(0.95282349585439, 0.04717650414560998)","(0.9958642254182879, 0.004135774581712109)","(0.45795156298712025, 0.5420484370128797)","(0.6316379538244241, 0.36836204617557583)","(0.9996708898995313, 0.00032911010046860606)","(0.9919922847024126, 0.008007715297587354)","(0.007514357355217216, 0.9924856426447828)","(0.9827903492497734, 0.017209650750226634)","(0.02110219101171973, 0.9788978089882803)","(0.9999068187399044, 9.318126009556632e-05)","(6.969990019634054e-05, 0.9999303000998037)","(0.007263587272467009, 0.992736412727533)","(0.2869930438753818, 0.7130069561246182)","(0.009867874564123968, 0.990132125435876)","(0.9990573552538171, 0.0009426447461828611)","(1, 0)","(0.866520244482582, 0.13347975551741795)","(0.9789355761995003, 0.021064423800499638)","(0.16884331322697266, 0.8311566867730273)","(0.9905147393181846, 0.009485260681815443)","(0.42527228017501495, 0.574727719824985)","(0.9696941562733365, 0.030305843726663492)","(0.9998341440551493, 0.0001658559448507747)","(0.00038030840121716647, 0.9996196915987828)","(1.133633215644192e-05, 0.9999886636678436)","(0.00025093488667349284, 0.9997490651133265)","(0.8828876452762102, 0.11711235472378984)","(0.6452004213122873, 0.3547995786877128)","(0.9850613415216234, 0.014938658478376618)","(0.2762844135679795, 0.7237155864320205)","(1, 0)","(0.4710576274388921, 0.5289423725611079)","(0.9842350931391574, 0.015764906860842677)","(0.999998911902975, 1.0880970250803708e-06)","(0.9965969794902011, 0.0034030205097988677)","(0.0009675439022118759, 0.9990324560977881)"
25,"(0.9976463758180356, 0.002353624181964354)","(0.41494374271676715, 0.5850562572832329)","(0.2527684461839098, 0.7472315538160902)","(0.6613232620983993, 0.33867673790160074)","(0.7319542287078445, 0.26804577129215545)","(0.9792279982442034, 0.020772001755796594)","(0.996506264412557, 0.0034937355874430703)","(0.4770567173167931, 0.5229432826832069)","(0.5999715418883422, 0.40002845811165777)","(0.9999071491761327, 9.285082386732673e-05)","(0.9883636234014109, 0.011636376598589031)","(0.0075150413324091, 0.9924849586675909)","(0.9699442503367405, 0.030055749663259558)","(0.015355610883212245, 0.9846443891167878)","(0.9999438086829404, 5.619131705957396e-05)","(7.018138073433544e-05, 0.9999298186192657)","(0.008689000735790042, 0.99131099926421)","(0.18988627271391967, 0.8101137272860803)","(0.004734376508538585, 0.9952656234914614)","(0.9991716774101489, 0.0008283225898510536)","(1, 0)","(0.8632851701305725, 0.13671482986942748)","(0.9672968196547043, 0.032703180345295714)","(0.7914848776452849, 0.20851512235471512)","(0.9920640047440882, 0.007935995255911803)","(0.4329315942508436, 0.5670684057491564)","(0.9725465053394114, 0.027453494660588534)","(0.9994172022386645, 0.0005827977613355687)","(0.00016504417530771587, 0.9998349558246923)","(1.189575246129948e-05, 0.9999881042475387)","(0.00024324947713705303, 0.999756750522863)","(0.8912123132906034, 0.1087876867093967)","(0.5932102265570824, 0.4067897734429175)","(0.9857959217190089, 0.014204078280991149)","(0.1880830564978554, 0.8119169435021446)","(1, 0)","(0.8624311864338415, 0.13756881356615844)","(0.38508131609717733, 0.6149186839028227)","(0.9999998557977547, 1.4420224527171202e-07)","(0.9993865700586685, 0.0006134299413314626)","(0.0009677832200577496, 0.9990322167799423)"
